,Job Title,Company,Rating,Location,City,State,Salary Estimate,Min Salary (Thousands),Max Salary (Thousands),Average Salary (Thousands),Size,Industry,Job Description,Seniority
112,Talent/HR Data Analyst,"HR Unlimited, Inc.",,"Santa Ana, CA",Santa Ana,CA,$41K - $78K (Glassdoor est.),41,78,59.5,,,"HR Unlimited Inc. is a premier consulting firm specializing in Affirmative Action Programs and HR Compliance.
Our mission is to provide superior client-focused and cost-effective specialized human resources. Our company is on a breakout trajectory with an abundance of advancement and promotion opportunities.
We will also offer you chances to gain experience and be a part of certain decisions that would, likely, not be afforded with a large corporation or a government agency.
Job Description:
A. Assists clients with their EEO/AAP compliance requirements:
1. Affirmative Action Plan development (E.O. 11246, Section 503, and VEVRAA)
2. EEO-1 Survey filing
3. VETS-4212 reporting
B. Collects data from clients, validates and reconciles data using Microsoft Excel, and formats data for Affirmative Action Plan Development Software
C. Reviews the results of Affirmative Action Plan analyses with clients to identify problem areas and determine the next steps for compliance/Best Practices.
D. Creates visually impactful presentations, with tools such as Tableau and
Microsoft PowerPoint, to illustrate the results of statistical analyses.
E. Supports clients through audits received from the Office of Federal Contractors Compliance Programs (OFCCP)
F. Collaborates with other members of the team to complete work and projects.
G. Performs other duties and special projects as assigned.
Job Qualifications:
1. Minimum of 3 years of experience preparing, implementing, or administering Affirmative Action plans
2. Effective communication skills, including ability to write cogent, concise, factual, and analytical reports.
3. Strong computer and internet research skills. Proficiency in Microsoft applications with an emphasis on Word, Excel, and PowerPoint.
4. Excellent organizational, analytical, and problem-solving skills with strong attention to detail and experience analyzing large, complex datasets.
5. Preferred bachelor's degree, or equivalent work experience related to employee and/or personnel data
6. Preferred Professional Certifications: SHRM-CP, SHRM-SCP, PHR, or SPHR
Job Type: Full-time
Pay: Up to $25.00 per hour
Benefits:
Dental insurance
Health insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
The employer enforces and maintains safety protocol to avoid COVID 19 and to protect its employees health and safety. Masks are required, social distancing maintained, and sanitizers are available. Temperature check upon arriving to work is available
Experience:
Affirmative Action Programs: 3 years (Preferred)
Work Location:
One location
Company's website:
www.hrunlimitedinc.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process",mid-level
113,Sales/Data Analyst and Excel Guru,Miracle-Ear,,"Waco, TX",Waco,TX,$41K - $78K (Glassdoor est.),41,78,59.5,,,"Miracle-Ear is a nation-wide leader in the Hearing Healthcare industry. We operate locations across the United States and strive to offer our patients solutions that enhance their lives. Our corporate office in Waco is hiring a full-time financial/data analyst to join our team. This is a salaried position with benefits.
Job description:
· Provide management with reports and analysis specifying and comparing factors affecting price margins, sales mix and profitability of products or services.
· Analyzes changes in product pricing or services provided, to determine effects on costs and profitability Analyzes actual costs and prepares periodic reports of sales, returns, cancels, cost, product and fixed costs and resulting contribution margin.
· Ensure validity and accuracy of data through analysis, and coordination with management.
· Assist in developing and documenting policies and procedures, including system requirements and internal controls surrounding operating data security and integrity
· Represent Finance/Accounting on teams designed to improve operations, reduce costs, etc.
Skills & Experience Required:
Bachelor degree in Finance or Business Administration
Retail medical device experience a plus
Hands on ERP experience preferred
2+ years of accounting experience; cost accounting preferred
Excellent analytical skills with a strong focus on accuracy and attention to detail
Excellent communication skills and high confidence in stating professional opinions
Strong Excel skills, financial modeling and analytical techniques
Demonstrated ability to streamline and automate complex processes
Job Type: Full-time
Pay: From $40,000.00 per year
Benefits:
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
ERP systems: 1 year (Preferred)
Data Analysis: 2 years (Preferred)
Microsoft Excel: 2 years (Preferred)
Cost Accounting: 1 year (Preferred)
Accounting: 1 year (Preferred)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Company's website:
www.miracle-ear
Work Remotely:
No
COVID-19 Precaution(s):
Personal protective equipment provided or required
Temperature screenings
Sanitizing, disinfecting, or cleaning procedures in place",mid-level
114,Senior Data Analyst,"Fiserv, Inc.",3.3,"Wilmington, DE",Wilmington,DE,$54K - $98K (Glassdoor est.),54,98,76.0,10000+ Employees,Finance,"What does a great Sr. Data Analyst do at Fiserv?
Fiserv's Money Network Investigations team provides fraud prevention, detection, and remediation expertise in support of investigations across the open loop landscape. Your core responsibilities will include developing risk mitigation rules, assisting with critical investigations and performing incident response activities for Money Network programs. You will be a key member of the team working to advance fraud alerting, while supporting analytical inquiries for executive leadership. Your areas of responsibility are expected to include Money Network card, ACH, and check transactions, along with mobile application and account activation security. Additionally, the Sr. Data Analyst supports product solutions and development activities across all lines of business as needed. You will garner a variety of experience in this role by collaborating with representatives from Cyber & Technical Fraud Investigations, Data Science, Anti-Money Laundering, Legal, Compliance, Security Operations and other Fiserv organizations.

As a Sr. Data Analyst, you can also look forward to:

Basic qualifications for consideration:

Preferred qualifications:

Travel:
Up to 10 percent",senior
115,Quality Data Analyst,Ultimate Staffing Services,3.3,"Irvine, CA",Irvine,CA,$41K - $75K (Glassdoor est.),41,75,58.0,501 to 1000 Employees,,"Quality Data Analyst
Irvine, CA
9+ months

Key Responsibilities:
Data Management and Preparation: Identify, evaluate, cleanse, and organize disparate data sources. Identify data sources available and collect primary data where necessary. Understand and assess the value of data sources based on our organizational need. Prepare and structure data within our systems for analysis. (25%)

Data Analysis: Support the administration and maintenance of data models, dashboards and reporting tools. Support the automation of ongoing analysis of trends and key performance metrics. Perform ad hoc analysis as assigned and identify new opportunities for value-add analytics as needed. Ensure a high quality standard of work through strict adherence to verification and validation protocol. (45%)









We are an equal opportunity employer and make hiring decisions based on merit. Recruitment, hiring, training, and job assignments are made without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, or any other protected classification. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",mid-level
116,Data Analyst,Macquarie Group Limited,4.0,"Philadelphia, PA",Philadelphia,PA,$54K - $96K (Glassdoor est.),54,96,75.0,10000+ Employees,Finance,"Are you a Data Analyst who is looking to continue a career in investment operations and work on security and pricing data for Macquarie’s Mutual and Institutional Funds? The Data Operations & Pricing team is responsible for security master maintenance and pricing oversight of all positions in Macquarie’s investment book of records. This is a 12-month contract located in Philadelphia, PA.
You will be focused on working with the team to oversee data maintenance and fidelity over 3rd party data vendors (Reuters, Bloomberg). You will also assist in research and resolution of data analytics and updates to security masters. In this role, you will quickly develop into owning and managing the ongoing data governance execution for Macquarie Investment Management.
Key Skills required for this role include:
reconciliation and review of daily vendor pricing files",mid-level
117,Transportation Data Analyst,NFI Industries,3.3,"Camden, NJ",Camden,NJ,$42K - $74K (Glassdoor est.),42,74,58.0,5001 to 10000 Employees,Transportation & Logistics,"The Transportation Data Analyst will develop and build analytics models and approaches as the basis for NFI’s strategy and vision. On top of that, you are responsible for identifying and extracting KPIs, risk and compliance data, and converting it into easy-to-digest formats. This position reports to the Director Transportation Support Analyst.

Job Responsibilities:
Manipulate large amounts of data, using SQL statements or Excel, or through dedicated data management software

Utilize data analysis and SQL skills to design and develop database queries, extract data from databases and analyze the data using a variety of analytical techniques

Generate and analyze data reports from internal and external sources

Perform data transfer functions by importing and exporting data to and from the SQL Server, or other sources

Continuously find ways to improve processes, execution, and delivery through trend analysis

Develop a process and associated plan for the maintenance of existing reports, trackers, and documents for the creation, incorporation and maintenance of new reports

Continually work towards strengthening industry knowledge and all relevant applications

Fully document all work and comply with development best practices

Communicate regularly and effectively with all colleagues

Exhibit a very organized approached and superior attention to details

Able to take on new tasks and responsibilities as needed


Bachelors’ degree in computer science, Supply Chain/Logistics, MIS, business or other related field

Excellent computer skills in Office applications. (Microsoft or G-Suite) required

Database fundamentals (SQL, Access, Azure, AWS)

Fundamental Knowledge of Data Science Languages like Python, R

Demonstrate the ability to apply business statistics in problem solving (descriptive statistics, probability, frequency distribution, time-series forecasting, correlation & regression models)

Ability to learn new systems, processes and tools quickly and thoroughly

Demonstrate a high degree of productivity while handling multiple tasks simultaneously

Ability to work seamlessly as part of a team, demonstrate a strong team commitment

Ability to perform comfortably in a fast-paced work environment

Excellent written, verbal, communication, and research skills a must

High level of accuracy and attention to detail

Ability to be flexible to adapt and act quickly when urgent matters require it

Problem analysis and resolution skills at both a strategic and functional level

Must be presently authorized to work in the U.S. without a requirement for work authorization

Please, no phone calls or emails to any employee of NFI about this opening. All resumes submitted by search firms/employment agencies to any employee at NFI via-email, the internet or in any form and/or method will be deemed the sole property of NFI, unless such search firms/employment agencies were engaged by NFI for this position and a valid agreement with NFI is in place. In the event a candidate who was submitted outside of the NFI agency engagement process is hired, no fee or payment of any kind will be paid.

#LI-ZG1",mid-level
118,Financial Data Analyst (4am or 5am CST start time),Orion Advisor Technology,4.5,"Omaha, NE",Omaha,NE,$26K - $44K (Glassdoor est.),26,44,35.0,1001 to 5000 Employees,Business Services,"Do you like order and continuity in your work? Does sifting through financial data and hunting for process efficiencies interest you? We are looking for someone wanting an entry level role within the financial industry. Orion is a Fintech company that is growing fast and we get to make a recognizable difference in the lives of millions of people each day!

The work schedule for this role is a 5am start time Monday through Friday with half days Friday and Saturday.

Ready to see if you have what we are looking for?
Do you love reconciling and identifying inconsistencies in multiple data sets to make sure it’s correct? (Got to scrub data to clean it up!)
Does problem solving and meeting deadlines excite you and are you hungry for a challenge?


If so, then you should talk to us – Orion Advisor Solutions. We build technology that empowers financial professionals and advisory firms to improve the way they run their business and enhance the experience for the investors they serve. Delivering best-in-breed portfolio management, performance, and back-office capabilities, it’s our mission to help our clients enjoy their businesses again—and that starts by growing our team with smart, driven, and well-rounded individuals, like you.

#LI-LG1",mid-level
119,"Data Extraction Analyst, Costs and Cost-Effectiveness",IHME,3.0,"Seattle, WA",Seattle,WA,$35K - $66K (Glassdoor est.),35,66,50.5,201 to 500 Employees,Business Services,"January 12, 2021

The Institute for Health Metrics and Evaluation (IHME) is an independent research center at the University of Washington. Its mission is to deliver to the world timely, relevant, and scientifically valid evidence to improve health policy and practice. IHME carries out its mission through a range of projects within different research areas including the Global Burden of Diseases, Injuries, and Risk Factors; Future Health Scenarios; Costs and Cost Effectiveness; Resource Tracking; and Impact Evaluations. Our vision is to provide policymakers, donors, and researchers with the highest-quality quantitative evidence base so all people live long lives in full health.

IHME is committed to providing the evidence base necessary to help solve the world’s most important health problems. This requires creativity and innovation, which is cultivated by an inclusive, diverse, and equitable environment that respects and appreciates differences, embraces collaboration, and invites the voices of all IHME team members.

. The team analyzes the cost-effectiveness of interventions and health spending by leveraging IHME’s experience, analytical framework, and databases on cost-effectiveness, health financing, and burden of disease estimation and forecasts. To support universal health coverage, IHME will generate incremental cost-effectiveness ratios (ICERs) for a broad set of interventions at national and local levels by extending and improving our meta-regression analysis of published estimates. ICERs are a metric for comparing health interventions, and represent the difference in cost between two possible interventions, divided by the difference in their effect. The initial meta-regression analysis was based on published ICERs that were extracted into the Tufts University Cost-Effectiveness Analysis (CEA) and Global Health CEA registries. The Data Extraction Analyst will extract additional ICERs and variables to improve our meta-regression analysis with the support of IHME’s extensive data extraction tools and experienced data professionals.

The main purpose of this position is to provide highly specialized oversight and guidance of routine but complex extraction processes for input data used in modeling, papers, and presentations at IHME. The Data Extraction Analyst will provide support to key research projects through data extraction and formatting, and providing inputs for papers and presentations.

The Data Extraction Analyst is expected to become specialized in data pertaining to relevant content areas and will consult with staff as needed. To create the array of indicators required, this position provides guidance on the extraction of all available relevant quantitative data from surveys, censuses, literature, and administrative records into central databases. This position will collate, clean, and extract data from survey, literature, vital registration, and other sources that have been identified. By doing so, they will catalog a library of data that will add to the foundation of the Institute. Relevant data include those on mortality, causes of death, epidemiology, and a range of determinants and risk factors, such as education, income, or air pollution.

The position must have a strong command of a variety of research needs and analytic functions. The Data Extraction Analyst must be able to anticipate the needs of research teams, as well as other functional teams including the Global Engagement Team, Technology Team, and Research Management as it pertains to the work of data extraction. This position will work with dynamic teams of researchers and staff at all levels and will work alongside other research staff on complementary projects requiring a foundational knowledge of IHME’s work, as well as core technical skills and collective problem-solving. Overall, the Data Extraction Analyst will be a critical member of an agile, dynamic team. This position is contingent on funding availability.



A commitment to working to alongside others at IHME to illuminate the health impacts of systemic racism and to work within IHME to make our organization more diverse and inclusive. See IHME’s DEI statement here: http://www.healthdata.org/get-involved/careers/dei.






Weekend and evening work sometimes required.


The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready.



Applicants considered for this position will be required to disclose if they are the subject of any substantiated findings or current investigations related to sexual misconduct at their current employment and past employment. Disclosure is required under Washington state law.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.

The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.

The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, age, protected veteran or disabled status, or genetic information.

To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 or dso@uw.edu.",mid-level
120,Marketing Data Analyst,Investor's Business Daily,3.3,"Los Angeles, CA",Los Angeles,CA,$38K - $71K (Glassdoor est.),38,71,54.5,51 to 200 Employees,Media,"Job Summary:
To support our growth objectives, we’re looking for a curious and driven analyst to work with our Marketing team. This person will be responsible for uncovering insights about our business and leveraging data to optimize our user acquisition efforts, uncovering insights about our acquisition funnel, building and improving KPI dashboards, dive into reporting from our Analytics team to help drive actionable insights for your marketing teammates. We are a growing, yet lean team. To succeed in this role, you must be comfortable with a fast-paced high growth environment and thrive on testing and delivering insights to help drive revenue.
Duties & Responsibilities: ·
Support the continuous improvement of our marketing efforts by designing, tracking, and analyzing the impact of A/B and multivariate tests",mid-level
121,Internal Audit Sr. Data Analyst,Emerson,3.7,"Saint Louis, MO",Saint Louis,MO,$52K - $92K (Glassdoor est.),52,92,72.0,10000+ Employees,Manufacturing,"At Emerson, we are innovators and problem-solvers, focused on a common purpose: leaving our world in a better place than we found it. Each and every day, our foundational values—integrity, safety and quality, supporting our people, customer focus, continuous improvement, collaboration and innovation—inform every decision we make and empower our employees to keep reaching higher. As a global technology and engineering leader, we provide groundbreaking solutions for customers in industrial, commercial, and residential markets. Our Emerson Automation Solutions business helps process, hybrid, and discrete manufacturers maximize production and protect personnel and the environment while optimizing their energy and operating costs. Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and create sustainable infrastructure.Emerson, a Fortune 500 company with $15.3 billion in sales and 200 manufacturing locations worldwide, is committed to helping employees grow and thrive throughout their careers. Whether you’re an established professional looking for a career change, an undergraduate student exploring options or a recent MBA graduate, you’ll find a variety of opportunities at Emerson. Join our team and start your journey today.",senior
122,Data Analyst - Neonatal and Child Health,IHME,3.0,"Seattle, WA",Seattle,WA,$35K - $66K (Glassdoor est.),35,66,50.5,201 to 500 Employees,Business Services,"January 20, 2021

The Institute for Health Metrics and Evaluation (IHME) is an independent research center at the University of Washington. Its mission is to deliver to the world timely, relevant, and scientifically valid evidence to improve health policy and practice. IHME carries out its mission through a range of projects within different research areas including: the Global Burden of Diseases, Injuries, and Risk Factors; Future Health Scenarios; Costs and Cost Effectiveness; Resource Tracking; and Impact Evaluations. Our vision is to provide policymakers, donors, and researchers with the highest-quality quantitative evidence base so all people live long lives in full health.

IHME is committed to providing the evidence base necessary to help solve the world’s most important health problems. This requires creativity and innovation, which is cultivated by an inclusive, diverse, and equitable environment that respects and appreciates differences, embraces collaboration, and invites the voices of all IHME team members.

A core research area for IHME is the Global Burden of Diseases, Injuries, and Risk Factors enterprise (GBD). A systematic, scientific effort to quantify the comparative magnitude of health loss due to diseases, injuries, and risk factors by age, sex, and geography over time, GBD is the largest and most comprehensive effort to date to measure epidemiological levels and trends worldwide. GBD’s aim is to provide policymakers, donors, researchers, and the communities they serve with the highest-quality quantitative evidence base to make decisions that achieve better health. Within this broader enterprise, the Neonatal and Child Health (NCH) team quantifies fatal and nonfatal health loss due to diverse conditions such as congenital birth defects, neonatal disorders, hemoglobinopathies, child growth failure, breastfeeding, oral disorders, anemia, and cerebral palsy.

Data Analysts on our team must develop an understanding of different research needs and analytic functions across multiple NCH projects. The Data Analyst must bring strong quantitative and problem-solving skills and experience in data science and cluster computing to the role. The Data Analyst must also be able to independently translate requests into actionable results through interactions with research databases, formulation of displays of results, and the development and management of complex coding pipelines and processes. The position calls for dexterity working with complex databases and the ability to assess, transform, and utilize quantitative data and processing methods using multiple coding languages – Python and R skills are required for this position. The individual must then quality control results to ensure that other team members have exactly what they need to incorporate the data and results into their own components of the analytic process, presentations, and papers.

Additionally, this position will work alongside other Data Professionals and Researchers on complementary projects and will require knowledge and skill sharing and collective problem solving. Overall, the Data Analyst will be a critical member of an agile, dynamic research team. This position is contingent on project funding availability.





A commitment to working alongside others at IHME to illuminate the health impacts of systemic racism and to work within IHME to make our organization more diverse and inclusive. See IHME’s DEI statement here: http://www.healthdata.org/get-involved/careers/dei



Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable, and welcoming.


The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready.



Applicants considered for this position will be required to disclose if they are the subject of any substantiated findings or current investigations related to sexual misconduct at their current employment and past employment. Disclosure is required under Washington state law.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.

The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.

The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, age, protected veteran or disabled status, or genetic information.

To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 or dso@uw.edu.",mid-level
123,Data Analyst - Japanese Bilingual,"Pasona N A, Inc.",3.7,"New York, NY",New York,NY,$31K - $54K (Glassdoor est.),31,54,42.5,51 to 200 Employees,Business Services,"A global technology consulting company is looking for Japanese bilingual Data Analyst in NY or home-based. By utilizing the power of data and Business Intelligence tools, Data Analyst will provide clients solutions to make the best and fast decisions in this ever changing environment.

Responsibility: Throughout clients' and internal projects, Data Analyst is responsible for measuring the current business performance and finding the opportunities for improvement . You will accomplish the missions by gathering, cleaning and visualizing large data sets, utilizing Business Intelligence tools such as Tableau.

Effectively communicate with customers and stakeholders to understand their business needs.",mid-level
124,Data Analyst,North Highland,3.3,"New Brunswick, NJ",New Brunswick,NJ,$66K - $119K (Glassdoor est.),66,119,92.5,1001 to 5000 Employees,Business Services,"LEAVE YOUR MARK ON A BETTER WORLD.
COLLABORATE WITH AMAZING PEOPLE.
MAKE CHANGE HAPPEN.

At North Highland, we believe in doing great things together. With you. With our clients. With a perspective on actions today that shape tomorrow. As the world’s most innovative, collaborative consulting group, we’ve built a space to share ideas like never before. Do you have the skills, passion and commitment to transform industries for the better? Think you can bring your A-game every day? If so, join us. We like big thinkers with action on the brain…

Want to support fresh perspectives with all the right insights? Our Data & Analytics experts help clients realize their true potential. Through a combination of analytics, management, visualization and data engineering, we bring the best decisions to light across a number of key industries. As part of our team, you’ll be getting to the heart of trends, behaviors and worthwhile investments.?

Why North Highland? Every choice you make will give you the opportunity to grow. It’s our employee ownership model - with plenty of coaching and personal development opportunities in the mix. For us, training doesn’t have an off switch. You’ll learn new things, both during and beyond traditional working hours. We want people who strive for the next level, then the next.

At North Highland, you’re never a number. Our firm is large enough to scale up, test your mettle and tackle big challenges, but small enough that clients won’t lose your face in a crowd. You’re recognized individually.

We started as three leaders and a kitchen table. Which means we know expectations are made to be broken. Want to surprise us? Do it. Experiment and stretch yourself. There’s room to grow as a budding entrepreneur.


Document and map current and future Data Governance Processes.
Assist in developing through PowerPoint data narratives and Swim lane diagrams as needed.
Perform & document data mapping activities and data analysis.


Minimum Bachelor’s degree
5+ years of Data Governance / Data Steward relevant experience.
Experience with healthcare industry is a plus.
Experience with Data Governance / MDM tools (Informatica and/or SAP a plus)
Experience with MDM.
Experience with Data & Analytics
Strong understanding of the functional data domain(s)
Strong understanding of source systems, data within the processes, and data flows, and data relationships
Expertise in data maintenance processes
Expertise in data management domain sufficient to understand all phases of a project and the specific of the solutions
Strong written and verb communication skills including the ability to create and present persuasive and compelling presentations

** Applicants must be authorized to work in the United States without the need for visa sponsorship by North Highland. Work visa sponsorship will not be provided, now or in the future, for this position.

Click?HERE?to apply

North Highland makes change happen for organizations who dare to be different. By melding workforce, customer and operational transformation, they are one of the world’s leading consulting groups, with 65+ offices around the globe. They break new ground today so tomorrow is easier to explore.

For more information, visit northhighland.com and connect with us on LinkedIn, Twitter and Facebook.

North Highland is an Equal Employment Opportunity (EEO)/Affirmative Action employer. All qualified applicants will receive fair and impartial consideration without regard to race, color, sex, gender identity, religion, national origin, age, sexual orientation, disability, veteran status, or any other characteristic protected by law.",mid-level
125,Cost and Data Analyst,Eastwood Homes,4.5,"Charlotte, NC",Charlotte,NC,$38K - $71K (Glassdoor est.),38,71,54.5,201 to 500 Employees,"Construction, Repair & Maintenance","Building Locally, Leading Nationally
Top 50 Homebuilder Nationwide, #6 Best Place to Work, Top 10 Privately-Held Businesses in NC, Builder of the Year Award Recipient!
Why Eastwood Homes?
Founded in 1977, Eastwood Homes is a privately-held residential homebuilder dedicated to providing homes of exceptional value and outstanding craftsmanship in eight divisions and four states throughout the Southeast region. With more than 40 years of experience and 15,000 home closings (celebrated in 2016), Eastwood Homes prides itself on offering more than just a place to live, we offer a way of life for homeowners and employees alike. We invite you to join our team of dedicated, motivated, and passionate professionals and experience the true meaning behind our company motto, Built with Care.",mid-level
126,Master Data Reporting Analyst,ASML,4.1,"Wilton, CT",Wilton,CT,$51K - $108K (Glassdoor est.),51,108,79.5,10000+ Employees,Manufacturing,"Introduction
ASML US brings together the most creative minds in science and technology to develop lithography machines that are key to producing faster, cheaper, more energy-efficient microchips. We design, develop, integrate, market and service these advanced machines, which enable our customers - the world’s leading chipmakers - to reduce the size and increase the functionality of their microchips, which in turn leads to smaller, more powerful consumer electronics. Our headquarters are in Veldhoven, the Netherlands, and we have 18 office locations around the United States including main offices in Chandler, Arizona, San Jose and San Diego, California, Wilton, Connecticut, and Hillsboro, Oregon.
Job Mission",mid-level
127,Contractual Quality Data Analyst,HP,4.1,"Boise, ID",Boise,ID,$49K - $90K (Glassdoor est.),49,90,69.5,10000+ Employees,Information Technology,"Applies intermediate level of subject matter knowledge to solve a variety of common business issues. Works on problems of moderately complex scope. Acts as an informed team member providing analysis of information and limited project direction input. Exercises independent judgment within defined practices and procedures to determine appropriate action. Follows established guidelines and interprets policies. Evaluates unique circumstances and makes recommendations.
Responsibilities
Participates as a member of team of other data science engineers carrying out the investigation, design, development, execution, and implementation of data science projects to generate new insights, products, technologies, and intellectual property.
In accordance with plan, performs/executes data collection and analysis procedures and data insight visualizations for assigned projects.",mid-level
128,Senior Data Analyst,Epsilon,3.6,"Atlanta, GA",Atlanta,GA,$51K - $90K (Glassdoor est.),51,90,70.5,5001 to 10000 Employees,Business Services,"Company Description
Epsilon is the leader in outcome-based marketing. We enable marketing that’s built on proof, not promises. Through Epsilon PeopleCloud, the marketing platform for personalizing consumer journeys with performance transparency, Epsilon helps marketers anticipate, activate and prove measurable business outcomes. Powered by CORE ID®, the most accurate and stable identity management platform representing 200+ million people, Epsilon’s award-winning data and technology is rooted in privacy by design and underpinned by powerful AI. With more than 50 years of experience in personalization and performance working with the world’s top brands, agencies and publishers, Epsilon is a trusted partner leading CRM, digital media, loyalty and email programs. Positioned at the core of Publicis Groupe, Epsilon is a global company with over 8,000 employees in over 40 offices around the world. For more information, visit epsilon.com. Follow us on Twitter at @EpsilonMktg.",senior
129,Econometric and Statistical Data Analyst/Consultant,Infotech,4.6,"Gainesville, FL",Gainesville,FL,$55K - $92K (Glassdoor est.),55,92,73.5,201 to 500 Employees,Information Technology,"Infotech Consulting is seeking a highly experienced Data Analyst/Consultant to join our Data Management team to acquire, process, and analyze data for litigation cases in areas such as antitrust, class action, breach of contract, and healthcare fraud.
Who We Are:
Originally founded in the 1970s, Infotech Consulting pioneered the use of sophisticated statistical and econometric techniques for detecting fraudulent business behavior. Today, Infotech Consulting remains committed to using data to uncover the truth. Our data management and expert analysis have been used for many high-profile national and international antitrust cases, resulting in the recovery of billions of dollars to injured consumers, governments, and other private parties.
Infotech was recently ranked No. 21 among Florida Trend’s “2020 Best Companies to Work For” in the large company category.",mid-level
130,Data Analyst,Resolute Management Inc.,3.2,"Boston, MA",Boston,MA,$42K - $76K (Glassdoor est.),42,76,59.0,201 to 500 Employees,Insurance,"Job Description Resolute Management, Inc. is a Third Party Administrator hired by clients to handle complex environmental, asbestos, and/or latent type insurance claims. We are proud to be an affiliate of the Berkshire Hathaway group of insurance companies and we believe our structure allows our employees to experience the benefits of a large company with a friendly, small company atmosphere. We are looking for an Junior Data Analyst to join our Quantitative Analysis Team.

Recent grads are encouraged to apply. Qualified candidates will have had experience developing complex analyses and detailed reports in Excel, possess strong, demonstrable problem-solving skills and enjoy working autonomously. DUTIES: Forecasts impact of environmental claims (hazardous waste and asbestos) to various companies through analysis of financial and legal issues. Works with business users to define business processes in support of business system development and performs system testing.

Generates ad hoc reporting for managers and clients. Provides quantitative support to users on MS Excel. PERFORMANCE REQUIREMENTS: Knowledge, Skills & Abilities: Find creative solutions to problems when limited information is available. Capable of managing an assigned project with a wide degree of independence.

Attentive to detail. Organizational and prioritizing skills. Ability to produce work in a short amount of time, if necessary. EDUCATION: Must have BS in quantitative field (Mathematics, Statistics, Economics, Finance).

Must be advanced user of Excel, intermediate knowledge of all other Microsoft Office products including Access. E xperience in data analysis (statistical or financial). Understanding of forecasting methods and how to apply them to complex scenarios incorporating a variety of issues. Ability to solve qualitative problems quantitatively and present or explain solutions to an audience with a limited math or computing background.

Knowledge of software development life cycle a plus. Employment Type: Full Time Years Experience: 1 - 3 years Salary: $50,000 - $55,000 Annual Bonus/Commission: Yes",mid-level
131,Data Scientist / Operations Research Analyst,Booz Allen Hamilton,4.2,"McLean, VA",McLean,VA,$61K - $104K (Glassdoor est.),61,104,82.5,10000+ Employees,Business Services,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data.
We have an opportunity for you to use your analytical skills to improve national security. You’ll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll apply your analytic and methodological skills and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help military leaders make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it.


#LI-AH1, APC1, ID13-G",mid-level
