Location,Latitude,Longitude
"Plano, TX",33.0136764,-96.6925096
"Reston, VA",38.9583737,-77.3579805
"Palo Alto, CA",37.4443293,-122.1598465
"Richmond, VA",37.5385087,-77.43428
"Chantilly, VA",49.1931736,2.4636686
"Carrollton, GA",32.9537349,-96.8902816
"Missoula, MT",46.8701049,-113.995267
"Chelsea, MA",42.3917638,-71.0328284
"Beaverton, OR",45.4871723,-122.80378
"North Chicago, IL",42.325578,-87.8411818
"Rockville, MD",39.0840054,-77.1527573
"San Luis Obispo, CA",35.3540209,-120.3757163
"Chandler, AZ",33.3061605,-111.84125
"Salt Lake City, UT",40.7596198,-111.8867975
"Lombard, IL",41.8864687,-88.0201536
"Garden City, NY",40.7266477,-73.6343052
"Alexandria, VA",38.8051095,-77.0470229
"Lawrence, MA",34.4776367,-87.3017331
"Rushville, IN",34.014466,-82.165057
"Waterbury, VT",44.337125349999994,-72.75549720909403
"Farmington Hills, MI",42.4853125,-83.3771553
"Albuquerque, NM",35.0841034,-106.6509851
"South Burlington, VT",44.4669941,-73.1709604
"Charlottesville, VA",38.029306,-78.4766781
"Erie, PA",42.1294712,-80.0852695
"Lincoln, RI",39.0605477,-90.959359
"Syosset, NY",40.818714150000005,-73.50015652837524
"Creve Coeur, MO",38.6613007,-90.4423653
"Nashville, TN",36.1622296,-86.7743531
"Herndon, VA",39.909726,-100.785153
"Tucson, AZ",32.2228765,-110.9748477
"Falls Church, VA",38.882334,-77.1710914
"Huntsville, AL",34.729847,-86.5859011
"Wheeling, WV",40.0639616,-80.7209149
"Hillsboro, OR",45.5228939,-122.989827
"Deerfield Beach, FL",26.318342,-80.0996306
"Downers Grove, IL",41.7936822,-88.0102281
"Orange, CA",33.7500378,-117.8704931
"Fairfax, VA",38.8462236,-77.3063733
"Salem, OR",44.9391565,-123.033121
"San Mateo, CA",37.496904,-122.3330573
"Lavonia, GA",34.4353607,-83.1072053
"Melbourne, FL",28.106471,-80.6371513
"Tysons Corner, VA",38.9206007,-77.2223184
"Auburn Hills, MI",42.6875323,-83.2341028
"Linthicum Heights, MD",39.2039094,-76.6597094
"Hills, IA",41.5541855,-91.5348875
"Canton, MS",32.6126381,-90.0367512
"San Jose, CA",37.3361905,-121.890583
"Syracuse, NY",43.0481221,-76.1474244
"Santa Monica, CA",34.0194704,-118.4912273
"Bellaire, TX",29.7057858,-95.4588299
"Norfolk, VA",52.666667,1
"Cypress, CA",33.8248235,-118.0399368
"Jersey City, NJ",40.7281575,-74.0776417
"Little Ferry, NJ",40.8528777,-74.0420848
"Oxford, OH",39.5103048,-84.7420519
"Glendale, WI",43.1352881,-87.9356423
"Northridge, CA",34.2345615,-118.5369316
"El Segundo, CA",33.917028,-118.4156337
"Jonesville, FL",29.6544208,-82.5230336
"Highland, CA",34.1283442,-117.2086513
"Lincolnshire, IL",53.1823034,-0.2031208542548153
"Green Bay, WI",44.5126379,-88.0125794
"Laurel, MD",39.1044123,-76.8669233
"Murray, UT",40.6667841,-111.888417
"Pasadena, CA",34.1476452,-118.1444779
"Princeton Junction, Mercer, NJ",40.321632,-74.61949414153017
"Southfield, MI",42.4733689,-83.2218731
Michigan,43.6211955,-84.6824346
"Aurora, IL",41.7571701,-88.3147539
"Greenwood Village, Arapahoe, CO",39.6172101,-104.9508141
"Ithaca, NY",42.4396039,-76.4968019
"Morristown, NJ",40.7970384,-74.4809492
"Everett, WA",47.9673056,-122.2013998
"Albany, NY",42.6511674,-73.754968
"Elk Grove Village, IL",42.0073828,-87.9412194
Nevada,39.5158825,-116.8537227
"Woodland Hills, CA",34.1684364,-118.6058382
"Mahomet, IL",40.195142,-88.4052266
"Bowie, MD",38.9424464,-76.7301718
"Fort Smith, AR",35.3872218,-94.4248983
"Commerce, CA",34.002581,-118.156586
"Worthington, OH",40.0930945,-83.0179593
"Webster Groves, St. Louis, MO",38.592339,-90.3564329
"Compton, CA",33.894927,-118.226624
"Franklin Lakes, NJ",41.0167639,-74.2057012
"Lake Oswego, OR",45.4206749,-122.6706498
"Fort Collins, CO",40.5508527,-105.0668085
"Palm Bay, FL",27.9946969,-80.6366144
"Hollywood, FL",26.0112014,-80.1494901
"Logan, UT",41.7313447,-111.8348631
"Ipswich, MA",52.0579495,1.1526345
"Topeka, KS",39.049011,-95.677556
"Floresville, TX",29.1335781,-98.1561192
"Hartsville, SC",34.3740431,-80.0734005
"Parsippany, NJ",40.8578772,-74.4259866
"Newark, CA",37.5296593,-122.0402399
"Lakewood, CO",39.624608499999994,-105.08420400222404
"Sterling, VA",31.8151416,-101.0452671
"Tallahassee, FL",30.4380832,-84.2809332
Georgia,32.3293809,-83.1137366
"Bonita Springs, FL",26.339806,-81.7786972
"Franklin, IN",33.704156,-117.75109
"Sacramento, CA",38.5810606,-121.4938951
